pub_date	title	venue	excerpt	citation	url_slug	paper_url
2020-04-24	Trends and emissions of six perfluorocarbons in the Northern Hemisphere and Southern Hemisphere	Journal of Atmospheric Chemistry and Physics		Droste, E. S., Adcock, K. E., Ashfold, M. J., Chou, C., Fleming, Z., Fraser, P. J., Gooch, L. J., Hind, A. J., Langenfelds, R. L., Leedham Elvidge, E., Mohd Hanif, N., O'Doherty, S., Oram, D. E., Ou-Yang, C.-F., Panagi, M., Reeves, C. E., Sturges, W. T., and Laube, J. C.: Trends and emissions of six perfluorocarbons in the Northern Hemisphere and Southern Hemisphere, Atmos. Chem. Phys., 20, 4787–4807, https://doi.org/10.5194/acp-20-4787-2020, 2020.	Droste_etal_2020	https://doi.org/10.5194/acp-20-4787-2020


2020-08-20	Investigating stratospheric changes between 2009 and 2018 with halogenated trace gas data from aircraft, AirCores, and a global model focusing on CFC-11	Journal of Atmospheric Chemistry and Physics		Laube, J. C., Elvidge, E. C. L., Adcock, K. E., Baier, B., Brenninkmeijer, C. A. M., Chen, H., Droste, E. S., Grooß, J.-U., Heikkinen, P., Hind, A. J., Kivi, R., Lojko, A., Montzka, S. A., Oram, D. E., Randall, S., Röckmann, T., Sturges, W. T., Sweeney, C., Thomas, M., Tuffnell, E., and Ploeger, F.: Investigating stratospheric changes between 2009 and 2018 with halogenated trace gas data from aircraft, AirCores, and a global model focusing on CFC-11, Atmos. Chem. Phys., 20, 9771–9782, https://doi.org/10.5194/acp-20-9771-2020, 2020.	Laube_etal_2020	https://acp.copernicus.org/articles/20/9771/2020/

2021-04-15	Spatial and Temporal Variability of Iodine in Aerosol 	Journal of Geophysical Research Atmospheres		Gómez Martín, J. C., Saiz-Lopez, A., Cuevas, C. A., Fernandez, R. P., Gilfedder, B., Weller, R., Baker, A. R., Droste, E., Lai, S.: Spatial and temporal variability of iodine in aerosol, Journal of Geophysical Research: Atmospheres, 126(9), https://doi.org/10.1029/2020JD034410, 2021.	GómezMartín_etal_2021	https://agupubs.onlinelibrary.wiley.com/doi/10.1029/2020JD034410

2021	Near-surface ocean temperature & salinity measurements (using YSI and Castaway) during the summer component of the Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) campaign in the Central Arctic Ocean, July – September 2020	Arctic Data Center		Smith, M., Bozzato, D., Chamberlain, E. J., Dietrich, U., Droste, E., Fong, A. A., Light, B., Linhardt, F., Matero., I., Perovich, D., Raphael, I., Regnery, J., Salganik, E., Tavri, A., von Albedyll, L., Webster, M.: Near-surface ocean temperature & salinity measurements (using YSI and Castaway) during the summer component of the Multidisciplinary drifting Observatory for the Study of Arctic Climate (MOSAiC) campaign in the Central Arctic Ocean, July – September 2020. Arctic Data Center. doi:10.18739/A2TT4FV1G, 2021.	Smith_etal_2021	https://arcticdata.io/catalog/view/doi%3A10.18739%2FA2TT4FV1G

2021-12-09	Soluble Iodine Speciation in Marine Aerosols Across the Indian and Pacific Ocean Basins	Frontiers in Marine Science		Droste, E. S., Baker, A.R., Yodle, C., Smith, A., and Ganzeveld, L.: Soluble Iodine Speciation in Marine Aerosols Across the Indian and Pacific Ocean Basins, Front. Mar. Sc., 8, 2296-7745, doi: 10.3389/fmars.2021.788105, 2021.	Droste_etal_2021	https://www.frontiersin.org/articles/10.3389/fmars.2021.788105/full